Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type
5592,BABA N2411B,Debt Securities,,"2,000",,US01609WAQ50,28/11/2024,,,,,,,,,"USD 200,000",Professional
5593,BABA N3411B,Debt Securities,,"2,000",,US01609WAR34,28/11/2034,,,,,,,,,"USD 200,000",Professional
5594,CEL DYNAS N2906,Debt Securities,,"2,000",,XS2009282539,27/06/2029,,,,,,,,,"USD 200,000",Professional
5595,CQ CASIN B2204,Debt Securities,,"2,000",,XS2016077286,28/04/2022,,,,,,,,,"USD 200,000",Professional
5596,ZY SINCER B2406,Debt Securities,,"2,000",,XS2020606682,28/06/2024,,,,,,,,,"USD 200,000",Professional
5597,UNIGROUP B2012,Debt Securities,,"2,000",,XS1332351169,10/12/2020,,,,,,,,,"USD 200,000",Professional
5598,TOP LUX B4012,Debt Securities,,"2,000",,XS1329465667,17/12/2040,,,,,,,,,"USD 200,000",Professional
5599,WANDA OVR B2207,Debt Securities,,"2,000",,XS2029997942,24/07/2022,,,,,,,,,"USD 200,000",Professional
5600,CHINA OVS B2301,Debt Securities,,"2,000",,XS1333468301,05/01/2023,,,,,,,,,"USD 200,000",Professional
5601,SDIS XINH B2101,Debt Securities,,"2,000",,XS1314969400,06/01/2021,,,,,,,,,"USD 200,000",Professional
5602,SKYFAME B3211,Debt Securities,,"12,500",,XS1341411822,14/11/2032,,,,,,,,,"HKD 1,250,000",Professional
5603,JINGRUI N2207,Debt Securities,,"2,000",,XS2016006699,25/07/2022,,,,,,,,,"USD 200,000",Professional
5604,SP MTN FN N2601,Debt Securities,,"2,000",,XS1341169867,13/01/2026,,,,,,,,,"USD 200,000",Professional
5606,XINGSHENG B2207,Debt Securities,,"2,000",,XS2021160275,25/07/2022,,,,,,,,,"USD 200,000",Professional
5607,KWG GROUP N2403,Debt Securities,,"2,000",,XS2034561584,05/03/2024,,,,,,,,,"USD 200,000",Professional
5608,DL DETA N2207,Debt Securities,,"2,000",,XS2018814397,29/07/2022,,,,,,,,,"USD 200,000",Professional
5609,AGRBK N2207,Debt Securities,,"2,000",,XS2027381255,30/07/2022,,,,,,,,,"USD 200,000",Professional
5610,CRCC B2101,Debt Securities,,"2,500",,XS1334819312,29/01/2021,,,,,,,,,"USD 250,000",Professional
5611,CITIC LTD N3602,Debt Securities,,"2,000",,XS1352923202,04/02/2036,,,,,,,,,"USD 200,000",Professional
5612,CITIC LTD N4102,Debt Securities,,"2,000",,XS1352925165,04/02/2041,,,,,,,,,"USD 200,000",Professional
5613,CRRC CORP B2102,Debt Securities,,"2,500",,XS1334803589,05/02/2021,,,,,,,,,"USD 250,000",Professional
5614,OVPH LTD GPCS,Debt Securities,,"2,000",,XS1366918305,,,,,,,,,,"USD 200,000",Professional
5615,BEDU N2207,Debt Securities,,"2,000",,XS2032582244,31/07/2022,,,,,,,,,"USD 200,000",Professional
5616,BOCL N2103,Debt Securities,,"2,000",,XS1371532208,01/03/2021,,,,,,,,,"USD 200,000",Professional
5617,CGWIH IV B2407,Debt Securities,,"2,000",,XS2023803526,31/07/2024,,,,,,,,,"USD 200,000",Professional
5618,AIA GROUP N4603,Debt Securities,,"2,000",,US00131MAE30,16/03/2046,,,,,,,,,"USD 200,000",Professional
5619,CARNIVAL B2103,Debt Securities,,"2,000",,XS1375829451,22/03/2021,,,,,,,,,"USD 200,000",Professional
5620,CGWIH IV UGPS,Debt Securities,,"2,000",,XS2023803872,,,,,,,,,,"USD 200,000",Professional
5621,AZORB III N2103,Debt Securities,,"2,000",,XS1379108456,21/03/2021,,,,,,,,,"USD 200,000",Professional
5622,HONGHUA N2208,Debt Securities,,"2,000",,XS2034868047,01/08/2022,,,,,,,,,"USD 200,000",Professional
5623,SINOOCEAN N2908,Debt Securities,,"2,000",,XS2034822564,05/08/2029,,,,,,,,,"USD 200,000",Professional
5624,DEXIN CH N2108,Debt Securities,,"2,000",,XS2035536098,06/08/2021,,,,,,,,,"USD 200,000",Professional
5625,MEILUN N2204,Debt Securities,,"2,000",,XS2031934834,28/04/2022,,,,,,,,,"USD 200,000",Professional
5626,SKYFAME B2509,Debt Securities,,"12,500",,XS1397876258,12/09/2025,,,,,,,,,"HKD 1,250,000",Professional
5627,SINOPEC N2408,Debt Securities,,"2,000",,USG82016AF62,08/08/2024,,,,,,,,,"USD 200,000",Professional
5628,SSLIFE N2104,Debt Securities,,"2,000",,XS1394989922,20/04/2021,,,,,,,,,"USD 200,000",Professional
5629,SSLIFE N2604,Debt Securities,,"2,000",,XS1394990003,20/04/2026,,,,,,,,,"USD 200,000",Professional
5630,CITIC LTD N3604,Debt Securities,,"2,000",,XS1399293650,25/04/2036,,,,,,,,,"USD 200,000",Professional
5631,CITIC LTD N4604,Debt Securities,,"2,000",,XS1399293817,25/04/2046,,,,,,,,,"USD 200,000",Professional
5632,SINOPEC N2908,Debt Securities,,"2,000",,USG82016AH29,08/08/2029,,,,,,,,,"USD 200,000",Professional
5633,MYS SGB C2604,Debt Securities,,"2,500",,USY54788AA57,27/04/2026,,,,,,,,,"USD 250,000",Professional
5634,MYS SGB C4604,Debt Securities,,"2,500",,USY54788AB31,27/04/2046,,,,,,,,,"USD 250,000",Professional
5635,SINOPEC N4908,Debt Securities,,"2,000",,USG82016AJ84,08/08/2049,,,,,,,,,"USD 200,000",Professional
